A1;615;212
A2;650;212
A3;685;212
A4;720;212
A5;755;212
A6;790;212
A7;825;212
A8;860;212
A9;895;212
A10;930;212
A11;965;212
A12;1000;212
A13;1035;212
A14;1070;212
A15;1105;212
A16;1140;212
A17;1175;212
A18;1210;212
A19;1245;212
A20;1280;212
B1;615;242
B2;650;242
B3;685;242
B4;720;242
B5;755;242
B6;790;242
B7;825;242
B8;860;242
B9;895;242
B10;930;242
B11;965;242
B12;1000;242
B13;1035;242
B14;1070;242
B15;1105;242
B16;1140;242
B17;1175;242
B18;1210;242
B19;1245;242
B20;1280;242
C1;615;272
C2;650;272
C3;685;272
C4;720;272
C5;755;272
C6;790;272
C7;825;272
C8;860;272
C9;895;272
C10;930;272
C11;965;272
C12;1000;272
C13;1035;272
C14;1070;272
C15;1105;272
C16;1140;272
C17;1175;272
C18;1210;272
C19;1245;272
C20;1280;272
D1;615;302
D2;650;302
D3;685;302
D4;720;302
D5;755;302
D6;790;302
D7;825;302
D8;860;302
D9;895;302
D10;930;302
D11;965;302
D12;1000;302
D13;1035;302
D14;1070;302
D15;1105;302
D16;1140;302
D17;1175;302
D18;1210;302
D19;1245;302
D20;1280;302
E1;615;332
E2;650;332
E3;685;332
E4;720;332
E5;755;332
E6;790;332
E7;825;332
E8;860;332
E9;895;332
E10;930;332
E11;965;332
E12;1000;332
E13;1035;332
E14;1070;332
E15;1105;332
E16;1140;332
E17;1175;332
E18;1210;332
E19;1245;332
E20;1280;332
F1;615;362
F2;650;362
F3;685;362
F4;720;362
F5;755;362
F6;790;362
F7;825;362
F8;860;362
F9;895;362
F10;930;362
F11;965;362
F12;1000;362
F13;1035;362
F14;1070;362
F15;1105;362
F16;1140;362
F17;1175;362
F18;1210;362
F19;1245;362
F20;1280;362
G1;615;392
G2;650;392
G3;685;392
G4;720;392
G5;755;392
G6;790;392
G7;825;392
G8;860;392
G9;895;392
G10;930;392
G11;965;392
G12;1000;392
G13;1035;392
G14;1070;392
G15;1105;392
G16;1140;392
G17;1175;392
G18;1210;392
G19;1245;392
G20;1280;392
H1;615;422
H2;650;422
H3;685;422
H4;720;422
H5;755;422
H6;790;422
H7;825;422
H8;860;422
H9;895;422
H10;930;422
H11;965;422
H12;1000;422
H13;1035;422
H14;1070;422
H15;1105;422
H16;1140;422
H17;1175;422
H18;1210;422
H19;1245;422
H20;1280;422
I1;615;452
I2;650;452
I3;685;452
I4;720;452
I5;755;452
I6;790;452
I7;825;452
I8;860;452
I9;895;452
I10;930;452
I11;965;452
I12;1000;452
I13;1035;452
I14;1070;452
I15;1105;452
I16;1140;452
I17;1175;452
I18;1210;452
I19;1245;452
I20;1280;452
J1;615;483
J2;650;483
J3;685;483
J4;720;483
J5;755;483
J6;790;483
J7;825;483
J8;860;483
J9;895;483
J10;930;483
J11;965;483
J12;1000;483
J13;1035;483
J14;1070;483
J15;1105;483
J16;1140;483
J17;1175;483
J18;1210;483
J19;1245;483
J20;1280;483
K1;685;519
K2;720;519
K3;755;519
K4;790;519
K5;825;519
K6;860;519
K7;895;519
K8;930;519
K9;965;519
K10;1000;519
K11;1035;519
K12;1070;519
K13;1105;519
K14;1140;519
K15;1175;519
K16;1355;606
K17;1390;606
K18;1425;606
K19;1460;606
L1;685;549
L2;720;549
L3;755;549
L4;790;549
L5;825;549
L6;860;549
L7;895;549
L8;930;549
L9;965;549
L10;1000;549
L11;1035;549
L12;1070;549
L13;1105;549
L14;1140;549
L15;1175;549
M1;615;588
M2;650;588
M3;685;588
M4;720;588
M5;755;588
M6;790;588
M7;825;588
M8;860;588
